Property_Damage_Category,Longitude,Latitude,DAUID,average_temperature,relative_humidity,average_snowfall,wind_speed,wind_direction,incident_category_description
320.0,-79.7256245541,44.3240846856,35430707.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
320.0,-79.7193591765,44.3600783116,35430669.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
500.0,-79.6911347514,44.3903906836,35431050.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
350.0,-79.7095454504,44.3736625307,35431016.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
500.0,-79.729339178,44.3254541134,35430712.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
300.0,-79.6666235285,44.3587408378,35431005.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
220.0,-79.6935886585,44.391539166,35431050.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
320.0,-79.7039452338,44.3710834482,35431053.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
150.0,-79.6854939827,44.3904623936,35431050.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,6.0
320.0,-79.6784543589,44.3903571346,35431062.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
320.0,-79.712059766,44.3848054688,35431025.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
300.0,-79.7100686648,44.3493540497,35430683.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
320.0,-79.6801304205,44.3895380514,35431062.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
150.0,-79.6901674517,44.3892658251,35431060.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,2.0
300.0,-79.7218035684,44.3225852636,35430709.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
220.0,-79.6676708946,44.3696338799,35431004.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
900.0,-79.6588722673,44.3675437414,35431004.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,9.0
860.0,-79.6670474093,44.4078441882,35431346.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
150.0,-79.6807792226,44.3363150829,35431324.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
300.0,-79.7262815858,44.3873379073,35431319.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,1.0
900.0,-79.6589355136,44.4165067741,35431364.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
300.0,-79.7092923971,44.3916116035,35431057.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,1.0
320.0,-79.7060180606,44.3907443327,35431039.0,-1.1286951,84.14099,1.8200005,51.826096,274.41022,3.0
320.0,-79.6921412941,44.3977788852,35431048.0,0.60213816,73.11738,0.0,59.446003,243.76807,7.0
230.0,-79.6845773325,44.3663247354,35431011.0,0.60213816,73.11738,0.0,59.446003,243.76807,2.0
320.0,-79.6921014748,44.3797573272,35431018.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
220.0,-79.7181654542,44.3908563862,35431028.0,0.60213816,73.11738,0.0,59.446003,243.76807,2.0
300.0,-79.730771103,44.3479434579,35431370.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
350.0,-79.7059607575,44.3850287711,35431054.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
230.0,-79.6946407216,44.389316439,35431059.0,0.60213816,73.11738,0.0,59.446003,243.76807,7.0
300.0,-79.7214263433,44.3266509451,35430707.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
300.0,-79.6511825614,44.3953495425,35431110.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
300.0,-79.6986794152,44.3991198559,35431058.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
300.0,-79.7421382652,44.3919378624,35430660.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
130.0,-79.6688681597,44.4015265912,35431103.0,0.60213816,73.11738,0.0,59.446003,243.76807,1.0
900.0,-79.7016310631,44.3658499189,35431014.0,0.60213816,73.11738,0.0,59.446003,243.76807,9.0
410.0,-79.7054392082,44.4042484721,35431039.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
300.0,-79.6967265009,44.38065343,35431021.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
320.0,-79.6769541515,44.3913306756,35431063.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
320.0,-79.6769541515,44.3913306756,35431063.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
220.0,-79.7165649441,44.4033556241,35431035.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
230.0,-79.686422633,44.3930787969,35431065.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
300.0,-79.6901674517,44.3465664193,35431060.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
900.0,-79.6753720946,44.3711892019,35431311.0,0.60213816,73.11738,0.0,59.446003,243.76807,9.0
890.0,-79.6753720946,44.3711892019,35431311.0,0.60213816,73.11738,0.0,59.446003,243.76807,4.0
300.0,-79.669642997,44.401526721,35431115.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
300.0,-79.6992842816,44.4107735625,35431081.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
890.0,-79.7048285794,44.4035460808,35431040.0,0.60213816,73.11738,0.0,59.446003,243.76807,4.0
890.0,-79.6923072103,44.3883236526,35431059.0,0.60213816,73.11738,0.0,59.446003,243.76807,3.0
230.0,-79.6845773325,44.3663247354,35431011.0,3.2454717,82.51336,0.0,45.508057,267.43796,2.0
230.0,-79.6845773325,44.3663247354,35431011.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
840.0,-79.6884395799,44.3892888438,35431060.0,3.2454717,82.51336,0.0,45.508057,267.43796,2.0
300.0,-79.6888542245,44.3959599756,35431047.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
220.0,-79.6455779921,44.3532657421,35431353.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
790.0,-79.7037708275,44.3765856006,35431020.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
900.0,-79.694713351,44.3682900016,35431014.0,3.2454717,82.51336,0.0,45.508057,267.43796,9.0
300.0,-79.6884124562,44.4143791733,35431076.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
300.0,-79.6763625512,44.3646003783,35431007.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
210.0,-79.6859577819,44.3945078798,35431047.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
300.0,-79.6670383905,44.403884438,35431349.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
300.0,-79.6524790799,44.3645032641,35431003.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
220.0,-79.6874529383,44.3679143813,35431048.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
300.0,-79.7080197218,44.3445068215,35430688.0,3.2454717,82.51336,0.0,45.508057,267.43796,6.0
320.0,-79.6831002338,44.389380345,35431061.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
300.0,-79.6471652939,44.3493388967,35431353.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
230.0,-79.6928388896,44.394213378,35431051.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
230.0,-79.6935886585,44.391539166,35431050.0,3.2454717,82.51336,0.0,45.508057,267.43796,3.0
890.0,-79.7099460912,44.4090335463,35431091.0,3.2454717,82.51336,0.0,45.508057,267.43796,4.0
890.0,-79.7253186491,44.32635282,35430700.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
890.0,-79.6674695077,44.3609188265,35431006.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,8.0
890.0,-79.6872698543,44.3893065335,35431061.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
900.0,-79.6434095596,44.3637455869,35431123.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,9.0
320.0,-79.7052446398,44.3826286107,35431021.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
320.0,-79.6589355136,44.4165067741,35431364.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,7.0
490.0,-79.673258313,44.415607168,35431073.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
320.0,-79.6774236251,44.3908406602,35431062.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
300.0,-79.6517679736,44.3938410402,35431110.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
120.0,-79.7198533254,44.3834098199,35431073.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
320.0,-79.6784543589,44.3903571346,35431062.0,-0.22369511,86.07685,0.35000002,17.226656,316.9849,3.0
