GEO,VALUE
35430647,290
35430648,175
35430649,165
35430650,340
35430651,150
35430652,265
35430653,210
35430654,225
35430655,215
35430656,235
35430657,550
35430658,80
35430659,285
35430660,200
35430661,350
35430662,180
35430663,55
35430664,200
35430665,185
35430666,120
35430667,145
35430668,145
35430669,1130
35430670,200
35430671,115
35430672,165
35430673,145
35430674,60
35430675,150
35430676,130
35430677,220
35430678,275
35430679,195
35430680,160
35430681,90
35430682,145
35430683,170
35430684,170
35430685,170
35430686,460
35430687,300
35430688,225
35430689,625
35430690,395
35430691,295
35430693,185
35430694,115
35430696,110
35430698,135
35430699,125
35430700,245
35430701,155
35430702,85
35430703,85
35430704,65
35430705,100
35430706,140
35430707,320
35430708,115
35430709,75
35430710,100
35430711,245
35430712,90
35430713,100
35430714,115
35430988,515
35430989,260
35430992,280
35430993,85
35430994,60
35430995,95
35430996,60
35430997,100
35430998,250
35430999,130
35431000,395
35431001,130
35431002,100
35431003,255
35431004,740
35431005,200
35431006,230
35431007,245
35431008,260
35431009,270
35431010,215
35431011,165
35431012,200
35431013,365
35431014,190
35431015,160
35431016,135
35431017,180
35431018,720
35431019,1830
35431020,190
35431021,150
35431022,155
35431023,470
35431024,165
35431025,1000
35431026,275
35431027,605
35431028,205
35431029,130
35431030,240
35431031,240
35431032,285
35431033,150
35431034,950
35431035,270
35431036,195
35431037,240
35431038,555
35431039,685
35431040,255
35431041,95
35431042,100
35431043,135
35431044,370
35431045,240
35431046,150
35431047,490
35431048,130
35431049,370
35431050,205
35431051,180
35431052,820
35431053,150
35431054,840
35431055,195
35431056,205
35431057,230
35431058,300
35431059,585
35431060,730
35431061,600
35431062,745
35431063,725
35431064,235
35431065,110
35431066,245
35431067,225
35431068,110
35431069,220
35431070,220
35431071,210
35431072,480
35431073,445
35431074,120
35431075,875
35431076,155
35431077,155
35431078,120
35431079,130
35431080,180
35431081,225
35431082,220
35431083,165
35431084,140
35431085,155
35431086,235
35431087,275
35431089,440
35431090,775
35431091,170
35431092,130
35431099,210
35431101,500
35431102,305
35431103,205
35431104,155
35431105,95
35431109,485
35431110,495
35431111,450
35431112,515
35431113,335
35431114,265
35431115,275
35431116,205
35431117,555
35431118,205
35431119,890
35431120,350
35431121,280
35431122,150
35431123,160
35431124,150
35431125,170
35431126,135
35431127,760
35431128,120
35431129,210
35431131,185
35431132,295
35431135,895
35431136,90
35431137,140
35431139,220
35431140,105
35431141,200
35431309,1635
35431310,550
35431311,305
35431312,340
35431313,135
35431314,1040
35431315,205
35431316,115
35431317,160
35431318,145
35431319,125
35431320,130
35431321,625
35431322,120
35431323,195
35431324,445
35431325,175
35431338,200
35431339,120
35431340,105
35431342,140
35431346,285
35431347,220
35431348,95
35431349,325
35431350,320
35431352,180
35431353,765
35431354,240
35431355,1510
35431364,150
35431365,180
35431366,145
35431367,90
35431368,170
35431369,365
35431370,245
35431371,165
35431372,160
35431373,215
35431380,230
