DAUID,population_count_above_aged_65,total_population,percentage_above_aged_65
35430647,105,685,15.33
35430648,60,440,13.64
35430649,60,355,16.9
35430650,110,515,21.36
35430651,55,355,15.49
35430652,90,425,21.18
35430653,75,430,17.44
35430654,75,435,17.24
35430655,70,520,13.46
35430656,80,400,20.0
35430657,175,1035,16.91
35430658,25,295,8.47
35430659,90,450,20.0
35430660,70,440,15.91
35430661,125,600,20.83
35430662,65,480,13.54
35430663,15,290,5.17
35430664,75,565,13.27
35430665,60,305,19.67
35430666,50,450,11.11
35430667,45,360,12.5
35430668,50,430,11.63
35430669,375,1210,30.99
35430670,75,1000,7.5
35430671,35,310,11.29
35430672,60,515,11.65
35430673,55,335,16.42
35430674,25,295,8.47
35430675,50,400,12.5
35430676,40,305,13.11
35430677,70,350,20.0
35430678,90,490,18.37
35430679,65,295,22.03
35430680,55,345,15.94
35430681,35,325,10.77
35430682,50,700,7.14
35430683,60,485,12.37
35430684,65,355,18.31
35430685,60,575,10.43
35430686,155,750,20.67
35430687,105,625,16.8
35430688,75,490,15.31
35430689,210,545,38.53
35430690,130,1005,12.94
35430691,100,425,23.53
35430693,60,500,12.0
35430694,30,385,7.79
35430696,35,385,9.09
35430698,55,480,11.46
35430699,45,565,7.96
35430700,75,495,15.15
35430701,60,450,13.33
35430702,35,430,8.14
35430703,30,335,8.96
35430704,20,370,5.41
35430705,35,405,8.64
35430706,55,545,10.09
35430707,110,580,18.97
35430708,50,430,11.63
35430709,25,295,8.47
35430710,35,345,10.14
35430711,85,430,19.77
35430712,30,435,6.9
35430713,35,435,8.05
35430714,35,520,6.73
35430988,175,1485,11.78
35430989,95,940,10.11
35430992,105,585,17.95
35430993,30,380,7.89
35430994,25,420,5.95
35430995,35,485,7.22
35430996,30,315,9.52
35430997,30,300,10.0
35430998,75,725,10.34
35430999,45,330,13.64
35431000,130,405,32.1
35431001,45,315,14.29
35431002,40,315,12.7
35431003,90,615,14.63
35431004,250,500,50.0
35431005,60,320,18.75
35431006,70,365,19.18
35431007,85,395,21.52
35431008,90,370,24.32
35431009,95,450,21.11
35431010,75,410,18.29
35431011,65,350,18.57
35431012,75,320,23.44
35431013,125,500,25.0
35431014,70,365,19.18
35431015,55,300,18.33
35431016,50,315,15.87
35431017,65,405,16.05
35431018,240,440,54.55
35431019,615,1035,59.42
35431020,65,375,17.33
35431021,55,455,12.09
35431022,65,380,17.11
35431023,145,495,29.29
35431024,50,415,12.05
35431025,330,815,40.49
35431026,90,355,25.35
35431027,205,485,42.27
35431028,70,310,22.58
35431029,45,270,16.67
35431030,85,420,20.24
35431031,75,475,15.79
35431032,100,360,27.78
35431033,50,305,16.39
35431034,315,500,63.0
35431035,95,360,26.39
35431036,70,390,17.95
35431037,85,350,24.29
35431038,185,425,43.53
35431039,240,445,53.93
35431040,85,445,19.1
35431041,40,290,13.79
35431042,30,265,11.32
35431043,50,315,15.87
35431044,125,585,21.37
35431045,80,480,16.67
35431046,55,370,14.86
35431047,165,480,34.38
35431048,35,350,10.0
35431049,120,370,32.43
35431050,70,355,19.72
35431051,65,350,18.57
35431052,270,605,44.63
35431053,50,360,13.89
35431054,275,720,38.19
35431055,65,375,17.33
35431056,70,445,15.73
35431057,85,285,29.82
35431058,105,365,28.77
35431059,195,685,28.47
35431060,240,565,42.48
35431061,190,455,41.76
35431062,245,470,52.13
35431063,245,475,51.58
35431064,85,410,20.73
35431065,45,330,13.64
35431066,85,350,24.29
35431067,75,420,17.86
35431068,40,225,17.78
35431069,75,490,15.31
35431070,75,390,19.23
35431071,80,415,19.28
35431072,160,520,30.77
35431073,140,740,18.92
35431074,40,210,19.05
35431075,290,1095,26.48
35431076,60,330,18.18
35431077,60,480,12.5
35431078,40,360,11.11
35431079,45,425,10.59
