Assessment_Date,Address,Building_Alarm_System,Building_Sprinklered,Fire_Extinguishers,LatLong,Latitude,Longitude
2023-09-06,155 Dunlop St W,Yes,Yes,Yes,"(44.3858466, -79.6975739)",44.3858466,-79.6975739
2023-09-10,155 Dunlop st w,Yes,Yes,Yes,"(44.3858466, -79.6975739)",44.3858466,-79.6975739
2023-09-20,201 Hurst,No,No,No,"(32.540519700000004, -97.29873164942643)",32.540519700000004,-97.29873164942643
2023-10-05,15 cedar point drive ,Yes,No,Yes,"(40.68521945, -73.28869800069558)",40.68521945,-73.28869800069558
2023-10-05,15 cedar point drive,Yes,No,No,"(40.68521945, -73.28869800069558)",40.68521945,-73.28869800069558
2023-10-05,287 tiffin st ,Yes,Yes,Yes,"(44.3703772, -79.7087611)",44.3703772,-79.7087611
2023-10-05,411 Bayfield Street,No,No,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-10-10,132 Commerce Park Drive,Yes,Yes,No,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-10-11,34 cedar point drive,No,No,Yes,"(40.6857408, -73.2894839529028)",40.6857408,-73.2894839529028
2023-10-11,34 Cedar Point Drive,No,No,Yes,"(40.6857408, -73.2894839529028)",40.6857408,-73.2894839529028
2023-10-11,130 bellfarm rd,Yes,Yes,Yes,"(53.9769374, -1.0687646)",53.9769374,-1.0687646
2023-10-12,106 sanders,No,Yes,No,"(42.629403100000005, -71.33948559999999)",42.629403100000005,-71.33948559999999
2023-10-12,106 Saunders ,No,Yes,Yes,"(52.4201595, -1.5200298208695657)",52.4201595,-1.5200298208695657
2023-10-12,64 Cedar Point Dr. ,No,No,No,"(32.462013188194575, -80.63030519724461)",32.462013188194575,-80.63030519724461
2023-10-13,431 Huronia,No,No,Yes,"(44.3507158, -79.663906)",44.3507158,-79.663906
2023-10-13,431 huronia ,No,No,Yes,"(44.3507158, -79.663906)",44.3507158,-79.663906
2023-10-13,431 huronia rd,No,No,Yes,"(44.3507158, -79.663906)",44.3507158,-79.663906
2023-10-13,132 Commerce Park,No,Yes,Yes,"(41.686789881945664, -70.01571346217631)",41.686789881945664,-70.01571346217631
2023-10-13,411 Bayfield st,No,Yes,Yes,"(44.4097443, -79.7072901)",44.4097443,-79.7072901
2023-10-16,241 Essa,No,No,Yes,"(44.2703585, -79.7220819)",44.2703585,-79.7220819
2023-10-16,132 commerce park drive ,Yes,Yes,Yes,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-10-17,353 Anne street north,No,No,No,"(44.4025393, -79.7215537)",44.4025393,-79.7215537
2023-10-18,241 Essa Rd,No,No,Yes,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-10-17,241 Essa rd,No,No,No,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-10-17,241 Essa rd ,No,No,No,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-10-17,33 alliance blvd,No,Yes,No,"(44.4088922, -79.6830527)",44.4088922,-79.6830527
2023-10-18,411 Bayfield street,No,Yes,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-10-18,231 Essa rd,Yes,No,Yes,"(44.357876072641886, -79.69835054381193)",44.357876072641886,-79.69835054381193
2023-10-19,132 commerce park drive ,Yes,Yes,Yes,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-10-20,411 Bayfield st,No,Yes,Yes,"(44.4097443, -79.7072901)",44.4097443,-79.7072901
2023-10-24,142 Commerce Park Rd.,No,Yes,Yes,"(41.73567212720396, -70.02925545815137)",41.73567212720396,-70.02925545815137
2023-10-26,132 Commerce Park Drive,No,Yes,Yes,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-10-27,132 Commerce Park Drive,No,Yes,Yes,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-10-30,241 Essa road ,No,No,Yes,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-10-30,241 essa road ,No,No,Yes,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-10-31,411 bayfield,No,Yes,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-11-06,42 Cedar Point Drive,No,No,Yes,"(40.686131950000004, -73.28958573965053)",40.686131950000004,-73.28958573965053
2023-11-06,44 Cedar Point Drive,No,No,Yes,"(42.57419675, -88.526537)",42.57419675,-88.526537
2023-11-07,34 Cedar Pointe Dr. ,Yes,No,Yes,"(44.38108068757255, -79.71273736661165)",44.38108068757255,-79.71273736661165
2023-11-07,279 Yonge Street ,Yes,No,Yes,"(44.7506641, -79.8733767)",44.7506641,-79.8733767
2023-11-07,580 Bayfield ,Yes,No,Yes,"(44.4162218, -79.716091)",44.4162218,-79.716091
2023-11-07,580 Bayfield ,No,No,Yes,"(44.4162218, -79.716091)",44.4162218,-79.716091
2023-11-07,580 bayfield,No,No,Yes,"(44.4162218, -79.716091)",44.4162218,-79.716091
2023-11-09,44 Cedar Point Drive,No,No,Yes,"(42.57419675, -88.526537)",42.57419675,-88.526537
