DAUID,Fire_Incidents,Injuries_Rate_Per_Incident,Casualty_Rate_Per_Incident,Average_Response_Time,Property_Damage_Cost_Per_Incident,Population_Aged_65_Plus,Composite_Severity_Score,Severity_Category
35430639,7,0.0,0.0,9.0,0.0,,2,2: Moderate Severity
35430647,130,0.0,0.0,7.63,115.38,15.33,2,2: Moderate Severity
35430648,87,0.0,0.0,7.66,68.97,13.64,2,2: Moderate Severity
35430649,70,0.0,0.0,7.12,1157.14,16.9,1,1: Low Severity
35430650,10,0.0,0.0,7.4,0.0,21.36,1,1: Low Severity
35430651,103,0.0,0.0,6.92,0.0,15.49,1,1: Low Severity
35430652,103,0.0,0.0,6.97,97.09,21.18,1,1: Low Severity
35430653,179,0.0,0.0,6.67,709.5,17.44,1,1: Low Severity
35430654,89,0.0,0.0,7.53,0.0,17.24,2,2: Moderate Severity
35430655,155,0.0,0.0,7.31,387.1,13.46,1,1: Low Severity
35430656,199,0.0,0.0,6.84,77.89,20.0,1,1: Low Severity
35430657,133,0.0,0.0,6.77,45.11,16.91,1,1: Low Severity
35430658,46,0.0,0.0,7.76,1739.13,8.47,3,3: High Severity
35430659,56,0.0,0.0,7.7,0.0,20.0,2,2: Moderate Severity
35430660,78,0.0,0.0,8.57,0.0,15.91,2,2: Moderate Severity
35430661,82,0.0,0.0,7.27,609.76,20.83,1,1: Low Severity
35430662,78,0.0,0.0,7.14,0.0,13.54,1,1: Low Severity
35430663,85,0.0,0.0,6.7,588.24,5.17,1,1: Low Severity
35430664,1,0.0,0.0,7.0,0.0,13.27,1,1: Low Severity
35430665,172,0.0,0.0,5.86,6156.98,19.67,2,2: Moderate Severity
35430666,67,0.0,0.0,7.95,0.0,11.11,2,2: Moderate Severity
35430667,61,0.0,0.0,7.51,49.18,12.5,2,2: Moderate Severity
35430668,87,0.0,0.0,7.01,0.0,11.63,1,1: Low Severity
35430669,266,0.0,0.0,5.05,383.46,30.99,1,1: Low Severity
35430670,152,0.0,0.0,5.07,157.89,7.5,1,1: Low Severity
35430671,51,0.0,0.0,4.94,0.0,11.29,1,1: Low Severity
35430672,23,0.0,0.0,3.87,0.0,11.65,1,1: Low Severity
35430673,76,0.0,0.0,4.7,0.0,16.42,1,1: Low Severity
35430674,30,0.0,0.0,4.33,0.0,8.47,1,1: Low Severity
35430675,37,0.0,0.0,4.92,9459.46,12.5,2,2: Moderate Severity
35430676,64,0.0,0.0,5.35,0.0,13.11,1,1: Low Severity
35430677,68,0.0,0.0,4.32,4.41,20.0,1,1: Low Severity
35430678,116,0.0,0.0,5.0,3892.24,18.37,2,2: Moderate Severity
35430679,36,0.0,0.0,4.69,0.0,22.03,1,1: Low Severity
35430680,324,0.0,0.0,5.58,740.74,15.94,1,1: Low Severity
35430681,131,0.0,0.0,5.88,0.0,10.77,1,1: Low Severity
35430683,152,0.0,0.0,4.51,197.37,12.37,1,1: Low Severity
35430684,24,0.0,0.0,4.92,0.0,18.31,1,1: Low Severity
