ID,Assessment Date,Address,Unit # (if applicable),Is there a fire alarm system in this building serving more than one unit? (Does the smoke detector in 1 unit set off the entire building's fire alarm system),Is the building sprinklered?,Are there fire extinguishers in the building?,Is there a fire alarm system in this building?,Is the building sprinklered?2,Are there fire extinguishers in the building?2
57,06/09/2023,155 Dunlop St W,Unit 1,,,,Yes,Yes,Yes
58,10/09/2023,155 Dunlop st w,Na,,,,Yes,Yes,Yes
59,10/09/2023,123,4,Yes,Yes,Yes,,,
60,20/09/2023,201 Hurst,5,,,,,,
61,20/09/2023,201 Hurst,7,,,,,,
62,05/10/2023,15 cedar point drive ,24,,,,Yes,No,Yes
63,05/10/2023,15 cedar point drive,23,,,,Yes,No,No
64,05/10/2023,287 tiffin st ,13,,,,Yes,Yes,Yes
65,05/10/2023,411 Bayfield Street,3A,,,,No,No,Yes
66,10/10/2023,132 Commerce Park Drive,ABC,,,,Yes,Yes,No
67,11/10/2023,34 cedar point drive,514,,,,No,No,Yes
68,11/10/2023,34 cedar point drive,510,,,,No,No,Yes
69,11/10/2023,34 Cedar Point Drive,500b,,,,No,No,Yes
70,11/10/2023,34 cedar point drive,510,,,,No,No,Yes
71,11/10/2023,130 bellfarm rd,13b,,,,Yes,Yes,Yes
72,12/10/2023,106 sanders,"7,8,9",,,,No,Yes,No
73,12/10/2023,106 Saunders ,"10,11,12",,,,No,Yes,Yes
74,12/10/2023,106 Saunders ,"12,13",,,,No,Yes,Yes
75,12/10/2023,64 Cedar Point Dr. ,1408,,,,No,No,No
76,13/10/2023,431 Huronia,13,,,,No,No,Yes
77,13/10/2023,431 huronia ,12,,,,No,No,Yes
78,13/10/2023,431 huronia rd,10 ,,,,No,No,Yes
79,13/10/2023,132 Commerce Park,P,,,,No,Yes,Yes
80,13/10/2023,411 Bayfield st,A4,,,,No,Yes,Yes
81,16/10/2023,241 Essa,6,,,,No,No,Yes
82,16/10/2023,132 commerce park drive ,Q,,,,Yes,Yes,Yes
83,17/10/2023,353 Anne street north,1,,,,,,
84,18/10/2023,241 Essa Rd,3,,,,No,No,Yes
85,17/10/2023,241 Essa rd,4,,,,No,No,No
86,17/10/2023,241 Essa rd ,5,,,,No,No,No
87,17/10/2023,33 alliance blvd,11,,,,No,Yes,No
88,18/10/2023,411 Bayfield street,1a,,,,No,Yes,Yes
89,18/10/2023,132;commerce park drive ,O,,,,No,Yes,Yes
90,18/10/2023,231 Essa rd,O,,,,Yes,No,Yes
91,19/10/2023,132 commerce park drive ,E,,,,Yes,Yes,Yes
92,20/10/2023,411 Bayfield st,A-9,,,,No,Yes,Yes
93,24/10/2023,142 Commerce Park Rd.,Excalibur Water Systems ,,,,No,Yes,Yes
94,24/10/2023,11 Patterson,22,,,,Yes,Yes,Yes
95,26/10/2023,132 Commerce Park Drive,N,,,,No,Yes,Yes
96,26/10/2023,132 Commerce Park Drive,K,,,,No,Yes,Yes
97,27/10/2023,132 Commerce Park Drive,M,,,,No,Yes,Yes
98,30/10/2023,241 Essa road ,2,,,,No,No,Yes
99,30/10/2023,241 essa road ,1,,,,No,No,Yes
100,31/10/2023,411 bayfield,A5,,,,No,Yes,Yes
101,02/11/2023,test,test,,,,Yes,No,No
102,06/11/2023,42 Cedar Point Drive,1112A,,,,No,No,Yes
103,06/11/2023,44 Cedar Point Drive,1112,,,,No,No,Yes
104,07/11/2023,34 Cedar Pointe Dr. ,502,,,,Yes,No,Yes
105,07/11/2023,34 Cedar Pointe Dr. ,500,,,,Yes,No,Yes
106,07/11/2023,279 Yonge Street ,7,,,,Yes,No,Yes
107,07/11/2023,580 Bayfield ,2,,,,Yes,No,Yes
108,07/11/2023,580 Bayfield ,2,,,,No,No,Yes
109,07/11/2023,580 bayfield,1,,,,No,No,Yes
110,09/11/2023,test,test,,,,No,No,Yes
111,09/11/2023,44 Cedar Point Drive,1111,,,,No,No,Yes
112,09/11/2023,44 Cedar Pointe Drive,1108,,,,No,No,Yes
113,09/11/2023,44 Cedar Pointe Drive ,1102,,,,No,No,Yes
114,09/11/2023,24 Cedar Pointe Drive,24,,,,No,No,Yes
115,11/11/2023,431 Huronia,13,,,,,,
116,10/11/2023,431 Huronia Rd,10,,,,,,
117,10/11/2023,494 veterans ,4,,,,No,Yes,Yes
118,13/11/2023,289 young street,N/a,,,,Yes,Yes,Yes
119,13/11/2023,279 Yonge st.,"2,3,4,5",,,,No,No,Yes
120,13/11/2023,279 Yonge St.,8,,,,No,No,Yes
121,13/11/2023,353 Duckworth,2,,,,,,
122,13/11/2023,353 Duckworth ,1,,,,,,
123,13/11/2023,353,3,,,,,,
124,15/11/2023,26 Lennox st,26,,,,No,No,Yes
125,15/11/2023,26 Lennox dr,5 ,,,,No,No,Yes
126,15/11/2023,46 Lennox ,1,,,,No,No,Yes
127,15/11/2023,39 Lennox dr,3,,,,No,No,Yes
128,15/11/2023,"15 Cedar Pointe Dr Barrie, On L4N 5R7",17,,,,No,No,Yes
129,15/11/2023,40 Lennox drive,1,,,,No,No,Yes
130,15/11/2023,29 Lennox dr ,1,,,,No,No,Yes
131,16/11/2023,410 Essa,First choice,,,,No,No,Yes
132,16/11/2023,181 Livingston ,8,,,,Yes,No,Yes
133,16/11/2023,181 Livingston ,6,,,,No,No,Yes
134,15/11/2023,181 Livingston ,7,,,,No,No,Yes
135,21/11/2023,test,test,,,,,,
136,21/11/2023,test,test,,,,No,Yes,No
137,23/11/2023,34 cedar pointe dr,515,,,,No,No,Yes
138,23/11/2023,34 cedar pointe dr,507,,,,No,No,Yes
139,23/11/2023,74 cedar pointe,1003,,,,No,No,Yes
140,23/11/2023,15 cedar pointe,10,,,,,,
141,23/11/2023,15 Cedar Pointe Dr,7&8,,,,,,
142,23/11/2023,494 veterans dr,3,,,,,,
143,23/11/2023,494 veterans dr,7,,,,,,
144,23/11/2023,494 Dunlop st,10,,,,,,
145,23/11/2023,225 ferndale south,7,,,,,,
146,23/11/2023,"225 Ferndale Dr S #6, Barrie, ON L4N 6B9",6,,,,,,
147,23/11/2023,15 cedar point dr,15,,,,No,No,No
148,23/11/2023,34 cedar point,505,,,,No,No,Yes
149,23/11/2023,74 cedar point ,1002,,,,No,No,Yes
150,16/11/2023,106 Sauders,4,,,,No,Yes,Yes
151,28/11/2023,110 Saunders rd,9,,,,No,Yes,Yes
152,28/11/2023,155. Dunlop st test,3,,,,No,No,No
153,28/11/2023,155 Dunlop Test,3,,,,,,
154,28/11/2023,155 Dunlop test,3,,,,Yes,No,No
155,29/11/2023,test,test,,,,No,No,No
156,30/11/2023,Test,Test,,,,No,Yes,Yes
157,30/11/2023,test,test,Yes,Yes,Yes,,,
158,30/11/2023,test,test,,,,Yes,Yes,Yes
159,01/12/2023,110 Saunders,14,,,,No,Yes,Yes
160,05/12/2023,155 Dunlop st w (test),5,,,,No,Yes,Yes
161,05/12/2023,test,test,,,,,,
162,05/12/2023,test,test,,,,,,
163,05/12/2023,test,test,,,,,,
164,05/12/2023,123 test,1,,,,No,No,No
165,06/12/2023,33 alliance blvd,7,,,,Yes,Yes,Yes
166,08/12/2023,110 Saunders Road,10,,,,No,Yes,Yes
167,11/12/2023,174 Grove Street,1,,,,,,
168,11/12/2023,178 Grove Street,Not applicable ,,,,,,
169,12/12/2023,241 Essa rd,4,,,,,,
170,12/12/2023,411 bayfield,B5~7,,,,Yes,Yes,Yes
171,12/12/2023,411 bayfield,B3,,,,No,Yes,Yes
172,12/12/2023,132 Commerce Park Drive,N,,,,,,
173,12/12/2023,132 Commerce Park Drive ,K,,,,,,
174,12/12/2023,132 Commerce Park Drive ,M,,,,,,
175,14/12/2023,279 Yonge st,5,,,,No,No,Yes
176,14/12/2023,279 Yonge st,6,,,,No,No,Yes
177,14/12/2023,450 Bayfield st,No,,,,Yes,Yes,Yes
178,14/12/2023,279 Yonge st,17,,,,No,No,Yes
179,16/12/2023,411 Bayfield Street,B12,,,,Yes,Yes,Yes
