Enter Date,Address,Is there a fire alarm in this building?,Is this building sprinklered?,Are fire extinguishers fully charged?
21/09/2021,75 Carol Road,Yes,No,Yes
21/09/2021,125 Bayfield Street,Yes,Yes,Yes
22/09/2021,500 Mapleview Drive W,Yes,Yes,Yes
24/09/2021,1 Bernick dr,Yes,Yes,Yes
27/09/2021,15 cheltenham road ,Yes,No,Yes
27/09/2021,233 Blake street - Vancouver Place.  ,Yes,Yes,Yes
27/09/2021,10 coulter street,Yes,No,Yes
28/09/2021,414 Blake st,Yes,Yes,Yes
29/09/2021,200 Collier Street,Yes,Yes,Yes
29/09/2021,114 Anne st,Yes,Yes,Yes
30/09/2021,17 Blake St. ,Yes,Yes,Yes
30/09/2021,54 Koda street,Yes,Yes,Yes
30/09/2021,329 Blake St,Yes,Yes,Yes
04/10/2021,43 Ferndale Drive,Yes,Yes,Yes
04/10/2021,5 Chef Lane,Yes,Yes,Yes
04/10/2021,27 queen street,Yes,No,Yes
04/10/2021,12 Heather Street,Yes,Yes,Yes
05/10/2021,45 Ferndale,Yes,Yes,Yes
05/10/2021,95 Clapperton st ,Yes,No,Yes
05/10/2021,300 Essa,Yes,Yes,Yes
06/10/2021,20 Koda,Yes,Yes,Yes
06/10/2021,13 Cheltenham,Yes,Yes,Yes
06/10/2021,291 Blake st,Yes,Yes,Yes
07/10/2021,120 Bellfarm Rd,Yes,No,Yes
07/10/2021,76 Ardagh ,Yes,No,Yes
07/10/2021,17 Cheltenham,Yes,Yes,Yes
07/10/2021,750 Big Bay Point,Yes,Yes,Yes
12/10/2021,75 Amelia st,Yes,Yes,Yes
12/10/2021,1 Blake st,Yes,Yes,Yes
14/10/2021,7 Vancouver St,Yes,Yes,Yes
18/10/2021,126 bell farm road,Yes,No,Yes
18/10/2021,39 Ferndale Dr.,Yes,Yes,Yes
18/10/2021,108 Collier,Yes,Yes,Yes
18/10/2021,34 Johnson st,Yes,No,Yes
20/10/2021,151 Steel Street,Yes,No,Yes
20/10/2021,62 Little,Yes,No,Yes
21/10/2021,5 Greenwich St.,Yes,Yes,Yes
21/10/2021,6 bayfield st,Yes,Yes,Yes
22/10/2021,66 carol road,Yes,No,Yes
27/10/2021,2104 Line 6 North,Yes,Yes,Yes
25/10/2021,96 Anne street,No,No,Yes
